id,list,unit,german,fa_text,audio_path
b2-0026,B2 all 12 units,Unit 1,"die Neuorientierung, -en",جهت‌گیری نو,audio/fa/6ec5eccaaf290a0c5a.mp3
b2-0027,B2 all 12 units,Unit 1,sich niederlassen,مستقر شدن؛ اقامت گزیدن,audio/fa/b3fd49d596607f32ed.mp3
b2-0028,B2 all 12 units,Unit 1,ökologisch,محیط‌زیستی,audio/fa/e25d31a130823c6b21.mp3
b2-0029,B2 all 12 units,Unit 1,"das Pausengespräch, -e",گفت‌وگوی وقت تفریح,audio/fa/bb79c28f2a2acfc7a2.mp3
b2-0030,B2 all 12 units,Unit 1,"die Technologie, -n",تکنالوژی,audio/fa/b2778b235006c30a43.mp3
b2-0031,B2 all 12 units,Unit 1,"die Unterbrechung, -en",وقفه؛ قطع شدن,audio/fa/4bf022accae7e796bc.mp3
b2-0032,B2 all 12 units,Unit 1,"das Unternehmen, -",شرکت؛ مؤسسه,audio/fa/6e163c5387371a1627.mp3
b2-0033,B2 all 12 units,Unit 1,veralten,کهنه شدن؛ از رده خارج شدن,audio/fa/169d0cfa7c8c56a50a.mp3
b2-0034,B2 all 12 units,Unit 1,vertrauen auf (+ Akk.),اعتماد کردن به,audio/fa/2533a8894869cecd34.mp3
b2-0035,B2 all 12 units,Unit 1,ambulant,سرپایی؛ سیار,audio/fa/025d1a7f91c999959a.mp3
b2-0036,B2 all 12 units,Unit 1,das Berufsleben,زندگی کاری,audio/fa/b0ff98ec5bc3833bb4.mp3
b2-0037,B2 all 12 units,Unit 1,das Beschwerdemanagement,مدیریت شکایات,audio/fa/2ffe940422bae2b20f.mp3
b2-0038,B2 all 12 units,Unit 1,"der Betreuungsdienst, -e",خدمات مراقبتی,audio/fa/21622b4221a6a300de.mp3
b2-0039,B2 all 12 units,Unit 1,"der Bildungsgutschein, -e",کوپن آموزشی,audio/fa/a9680e904802c1b244.mp3
b2-0040,B2 all 12 units,Unit 1,bisherig,قبلی؛ تا حال,audio/fa/2ba145c0b1ef30f3c0.mp3
b2-0041,B2 all 12 units,Unit 1,eingehende Post,پُست ورودی,audio/fa/102352332e6ed9f0bc.mp3
b2-0042,B2 all 12 units,Unit 1,"die Fachkraft, Fachkräfte",نیروی متخصص,audio/fa/7ead6ae78117a69c53.mp3
b2-0043,B2 all 12 units,Unit 1,"die Fördermöglichkeit, -en",امکان حمایت مالی,audio/fa/c104cac8fa4de62977.mp3
b2-0044,B2 all 12 units,Unit 1,geeignet für (+ Akk.),مناسب برای,audio/fa/db3f4b82893daf37ab.mp3
b2-0045,B2 all 12 units,Unit 1,"die Haushaltsführung, -en",اداره خانه,audio/fa/8663d5fb300022d9f4.mp3
b2-0046,B2 all 12 units,Unit 1,"die Hilfskraft, Hilfskräfte",نیروی کمکی,audio/fa/4f84e018897914c9c8.mp3
b2-0047,B2 all 12 units,Unit 1,"die Kenntnis, -se",آگاهی؛ دانش,audio/fa/e725371dc7c9a278e6.mp3
b2-0048,B2 all 12 units,Unit 1,Kenntnisse erwerben,دانش کسب کردن,audio/fa/15f578c307de37c968.mp3
b2-0049,B2 all 12 units,Unit 1,"die Lagerliste, -n",فهرست انبار,audio/fa/013618a21825df23cb.mp3
b2-0050,B2 all 12 units,Unit 1,"der Lagerlogistiker, -",متخصص لوژیستیک انبار مرد,audio/fa/fc8b0f96edf0e83f1b.mp3
b2-0051,B2 all 12 units,Unit 1,"die Lagerlogistikerin, -nen",متخصص لوژیستیک انبار زن,audio/fa/7669acc1d681812c7a.mp3
b2-0052,B2 all 12 units,Unit 1,"der Lehrplan, Lehrpläne",نصاب آموزشی,audio/fa/3d1a4d164d869fef56.mp3
b2-0053,B2 all 12 units,Unit 1,"der Pflegedienst, -e",خدمات پرستاری,audio/fa/f8d3a767ebb8573c55.mp3
b2-0054,B2 all 12 units,Unit 1,"die Pflegeeinrichtung, -en",مرکز مراقبت,audio/fa/2f7a55c2b140f97018.mp3
b2-0055,B2 all 12 units,Unit 1,"die Pflegekraft, Pflegekräfte",نیروی مراقبتی؛ پرستار,audio/fa/1101915cb90a0355c5.mp3
b2-0056,B2 all 12 units,Unit 1,"das Pflegezertifikat, -e",تصدیق‌نامه مراقبت,audio/fa/3143453fb8034b5136.mp3
b2-0057,B2 all 12 units,Unit 1,"das Präsenzseminar, -e",سیمینار حضوری,audio/fa/e7d4d27e17c0a030f6.mp3
b2-0058,B2 all 12 units,Unit 1,"der Produktionshelfer, -",کمک‌کار تولید مرد,audio/fa/2d7a673670174ade2f.mp3
b2-0059,B2 all 12 units,Unit 1,"die Produktionshelferin, -nen",کمک‌کار تولید زن,audio/fa/7f2cab94875b8b21b0.mp3
b2-0060,B2 all 12 units,Unit 1,sich qualifizieren,کسب صلاحیت کردن,audio/fa/220f31cc22fd4b2033.mp3
b2-0061,B2 all 12 units,Unit 1,"die Sachkenntnis, -se",دانش تخصصی,audio/fa/cefae1d0e2b2eab37b.mp3
b2-0062,B2 all 12 units,Unit 1,etw. vermitteln,انتقال دادن؛ آموزش دادن,audio/fa/4fcdcf4734aa783ce1.mp3
b2-0063,B2 all 12 units,Unit 1,zur Verfügung stehen,در دسترس بودن,audio/fa/175e65097c89768516.mp3
b2-0064,B2 all 12 units,Unit 1,die Abfallvermeidung,جلوگیری از ضایعات,audio/fa/30b02094026744b874.mp3
b2-0065,B2 all 12 units,Unit 1,"der Anschluss, Anschlüsse",اتصال؛ ارتباط,audio/fa/c7bc77754d75e2a191.mp3
b2-0066,B2 all 12 units,Unit 1,"der Bereich, -e",بخش؛ ساحه,audio/fa/42c546335b470336fd.mp3
b2-0067,B2 all 12 units,Unit 1,"die Betriebsbesichtigung, -en",بازدید از شرکت,audio/fa/c595bb57af686f2599.mp3
b2-0068,B2 all 12 units,Unit 1,das Betriebsgelände,محوطه شرکت,audio/fa/4f05ca1d1a0fda5d13.mp3
b2-0069,B2 all 12 units,Unit 1,etw. einführen,معرفی کردن؛ وارد کردن,audio/fa/613a831e83582680c2.mp3
b2-0070,B2 all 12 units,Unit 1,"die Energieeinsparung, -en",صرفه‌جویی انرژی,audio/fa/695b9b1a472085f27d.mp3
b2-0071,B2 all 12 units,Unit 1,"der Entscheidungsspielraum, Entscheidungsspielräume",اختیار تصمیم‌گیری,audio/fa/976d34c6b788ec8dbe.mp3
b2-0072,B2 all 12 units,Unit 1,etw. eröffnen,افتتاح کردن,audio/fa/b7fc0c986400d00f22.mp3
b2-0073,B2 all 12 units,Unit 1,"die Eröffnung, -en",افتتاح,audio/fa/ad55315d139dd489e6.mp3
b2-0074,B2 all 12 units,Unit 1,die Erschließung,گسترش؛ ایجاد دسترسی,audio/fa/a33848450a343351c7.mp3
b2-0075,B2 all 12 units,Unit 1,etw. erweitern,گسترش دادن,audio/fa/08de4ee1184c47ad11.mp3
b2-0076,B2 all 12 units,Unit 1,die Fertigstellung,تکمیل,audio/fa/cdd58561f08e54be54.mp3
b2-0077,B2 all 12 units,Unit 1,"die Filiale, -n",شعبه,audio/fa/83ffef5a5e68aa3012.mp3
b2-0078,B2 all 12 units,Unit 1,eine flache Hierarchie,سلسله‌مراتب ساده,audio/fa/20926e925cb6624784.mp3
b2-0079,B2 all 12 units,Unit 1,"das Geschäftsjahr, -e",سال مالی,audio/fa/79432b0caf6cbff3e3.mp3
b2-0080,B2 all 12 units,Unit 1,"das Gründungsdatum, -daten",تاریخ تأسیس,audio/fa/a6285420d399fc181e.mp3
b2-0081,B2 all 12 units,Unit 1,"die Hierarchie, -n",سلسله‌مراتب,audio/fa/6babd2270c8ed9ac4d.mp3
b2-0082,B2 all 12 units,Unit 1,im Anschluss an (+ Akk.),پس از,audio/fa/68f8086e7d1ded910b.mp3
b2-0083,B2 all 12 units,Unit 1,"das Mitspracherecht, -e",حق اظهار نظر,audio/fa/34033eb771c2b298e2.mp3
b2-0084,B2 all 12 units,Unit 1,nachhaltig,پایدار,audio/fa/2f2b3e9b930e10595c.mp3
b2-0085,B2 all 12 units,Unit 1,etw. präsentieren,ارائه کردن,audio/fa/eb04fd4d8f40675eeb.mp3
b2-0086,B2 all 12 units,Unit 1,"der Pressesprecher, -",سخنگوی مطبوعاتی مرد,audio/fa/d734762b997731ce92.mp3
b2-0087,B2 all 12 units,Unit 1,"die Pressesprecherin, -nen",سخنگوی مطبوعاتی زن,audio/fa/d9d1cd73e5baf2e2de.mp3
b2-0088,B2 all 12 units,Unit 1,Produkte einführen,محصولات را معرفی کردن,audio/fa/f6087a0252f4fd16a1.mp3
b2-0089,B2 all 12 units,Unit 1,"die Produktionsstätte, -n",محل تولید,audio/fa/fd3cb8a3ea493c865b.mp3
b2-0090,B2 all 12 units,Unit 1,"der Rundgang, Rundgänge",گشت؛ بازدید,audio/fa/ce11d24052342175ab.mp3
b2-0091,B2 all 12 units,Unit 1,"das Sortiment, -e",مجموعه محصولات,audio/fa/198fff734836657b25.mp3
b2-0092,B2 all 12 units,Unit 1,"der Standort, -e",موقعیت؛ محل,audio/fa/20e04a34eb9bdd2dbd.mp3
b2-0093,B2 all 12 units,Unit 1,"die Terminbestätigung, -en",تأیید وقت ملاقات,audio/fa/35bc0edf31fbcc8f41.mp3
b2-0094,B2 all 12 units,Unit 1,etw. übernehmen,به عهده گرفتن,audio/fa/92561e434db05de440.mp3
b2-0095,B2 all 12 units,Unit 1,"der Umsatz, Umsätze",عواید؛ فروش کل,audio/fa/8a2d2318784a6e39ab.mp3
b2-0096,B2 all 12 units,Unit 1,"die Unternehmensgeschichte, -n",تاریخچه شرکت,audio/fa/f7c0a8975681b40abf.mp3
b2-0097,B2 all 12 units,Unit 1,"die Verkaufsfläche, -n",ساحه فروش,audio/fa/0723629a33202ec460.mp3
b2-0098,B2 all 12 units,Unit 1,"das Verkaufsgespräch, -e",گفت‌وگوی فروش,audio/fa/bafc2e2adbcab394c0.mp3
b2-0099,B2 all 12 units,Unit 1,"das Zentrallager, -",انبار مرکزی,audio/fa/47ae196422e4671f47.mp3
b2-0100,B2 all 12 units,Unit 1,"das Zweigwerk, -e",کارخانه فرعی,audio/fa/cd4ef453032a9d645a.mp3
b2-0101,B2 all 12 units,Unit 1,etw. anordnen,ترتیب دادن؛ دستور دادن,audio/fa/a99b8a2e97b32d5ccf.mp3
b2-0102,B2 all 12 units,Unit 1,das Controlling,کنترل مالی و مدیریتی,audio/fa/67b5f162d63e95b0f9.mp3
b2-0103,B2 all 12 units,Unit 1,"die Finanzabteilung, -en",بخش مالی,audio/fa/72e1099b1011ed73bf.mp3
b2-0104,B2 all 12 units,Unit 1,"die Fläche, -n",ساحه؛ فضا,audio/fa/15a2fe93d3f59bc69b.mp3
b2-0105,B2 all 12 units,Unit 1,die Forschung & Entwicklung,تحقیق و توسعه,audio/fa/c4c559f500f716debc.mp3
b2-0106,B2 all 12 units,Unit 1,"die Geschäftsleitung, -en",مدیریت شرکت,audio/fa/d3734433f5270f8621.mp3
b2-0107,B2 all 12 units,Unit 1,"der Hauptbereich, -e",بخش اصلی,audio/fa/9b9b7fef81178c0292.mp3
b2-0108,B2 all 12 units,Unit 1,die Haustechnik,تخنیک ساختمان,audio/fa/ba73ff00e5db8e0013.mp3
b2-0109,B2 all 12 units,Unit 1,die Herstellung,تولید,audio/fa/46a71beef5159ea0c6.mp3
b2-0110,B2 all 12 units,Unit 1,"die Hierarchieebene, -n",سطح سلسله‌مراتب,audio/fa/e1d17e2fd2cf7551a5.mp3
b2-0111,B2 all 12 units,Unit 1,"das Lager, -",انبار,audio/fa/3aeb36b58197ca25ab.mp3
b2-0112,B2 all 12 units,Unit 1,etw. leiten,رهبری کردن؛ مدیریت کردن,audio/fa/be9397a191d90a4843.mp3
b2-0113,B2 all 12 units,Unit 1,das Marketing,بازاریابی,audio/fa/7b05a659b67cf7d2e6.mp3
b2-0114,B2 all 12 units,Unit 1,"die Marktuntersuchung, -en",بررسی بازار,audio/fa/de693446de25ca45dc.mp3
b2-0115,B2 all 12 units,Unit 1,"die Mitarbeiterzahl, -en",تعداد کارمندان,audio/fa/0ee078ffd420072fd5.mp3
b2-0116,B2 all 12 units,Unit 1,die Öffentlichkeitsarbeit,روابط عمومی,audio/fa/bca582430e209a517a.mp3
b2-0117,B2 all 12 units,Unit 1,"das Organigramm, -e",چارت تشکیلاتی,audio/fa/c9c008669d0808572b.mp3
b2-0118,B2 all 12 units,Unit 1,"das Produktionsverfahren, -",روش تولید,audio/fa/9356d5e25b8ce951a3.mp3
b2-0119,B2 all 12 units,Unit 1,die Qualitätssicherung,تضمین کیفیت,audio/fa/6a01b6619fb15fc8d5.mp3
b2-0120,B2 all 12 units,Unit 1,"die Rechtsabteilung, -en",بخش حقوقی,audio/fa/09315fbcc17b5419cd.mp3
b2-0121,B2 all 12 units,Unit 1,"die Spitze, -n",رأس؛ بالاترین بخش,audio/fa/82414f774d8cb10598.mp3
b2-0122,B2 all 12 units,Unit 1,an der Spitze von (+ Dat.),در رأسِ,audio/fa/8037a7fb5f947e8b55.mp3
b2-0123,B2 all 12 units,Unit 1,untergeordnet,زیردست؛ تابع,audio/fa/a67b7fe94abb61f443.mp3
b2-0124,B2 all 12 units,Unit 1,untergliedert,تقسیم‌شده,audio/fa/bc3bec59a745fb65ef.mp3
b2-0125,B2 all 12 units,Unit 1,unterteilt,تقسیم‌شده,audio/fa/bc3bec59a745fb65ef.mp3
b2-0126,B2 all 12 units,Unit 1,die Verkaufsförderung,ترویج فروش,audio/fa/ef07f885e4d4e4a4c9.mp3
b2-0127,B2 all 12 units,Unit 1,der Vertrieb,فروش؛ توزیع,audio/fa/f61eacea99df54b402.mp3
b2-0128,B2 all 12 units,Unit 1,"die Verwaltung, -en",اداره؛ مدیریت اداری,audio/fa/0a3f57f1b319f6d4bb.mp3
b2-0129,B2 all 12 units,Unit 1,etw. zuordnen zu (+ Dat.),نسبت دادن؛ اختصاص دادن,audio/fa/b7a79eb14c7e3a3cef.mp3
b2-0130,B2 all 12 units,Unit 1,"die Zuständigkeit, -en",مسئولیت؛ صلاحیت کاری,audio/fa/f51c123528749e7964.mp3
b2-0131,B2 all 12 units,Unit 1,"die Anrede, -n",طرز خطاب,audio/fa/4d3d6c8b2ae91f9c8d.mp3
b2-0132,B2 all 12 units,Unit 1,distanzlos,بیش از حد خودمانی,audio/fa/1acfa5a706ecd993b6.mp3
b2-0133,B2 all 12 units,Unit 1,das Du,خطاب غیررسمی «تو»,audio/fa/48f782a64bf167fcb3.mp3
b2-0134,B2 all 12 units,Unit 1,sich duzen,همدیگر را «تو» خطاب کردن,audio/fa/91dbc0b8cfd0700d2b.mp3
b2-0135,B2 all 12 units,Unit 1,"der Kompromiss, -e",سازش؛ توافق میانه,audio/fa/9bc7c145c26cdfc9b2.mp3
b2-0136,B2 all 12 units,Unit 1,einen Kompromiss finden,به سازش رسیدن,audio/fa/ccf89a49c3de60c380.mp3
b2-0137,B2 all 12 units,Unit 1,etw./jdn. respektieren,احترام کردن به چیزی/کسی,audio/fa/bbf6f75473a175a362.mp3
b2-0138,B2 all 12 units,Unit 1,das Sie,خطاب رسمی «شما»,audio/fa/5696c8694e4f5d7f8c.mp3
b2-0139,B2 all 12 units,Unit 1,sich siezen,همدیگر را «شما» خطاب کردن,audio/fa/9a2f67cac1db34beba.mp3
b2-0140,B2 all 12 units,Unit 1,jdm. das Du anbieten,به کسی اجازه «تو» گفتن دادن,audio/fa/73b0f4e95bf7c1f81e.mp3
b2-0141,B2 all 12 units,Unit 2,"die Arbeitslosenquote, -n",نرخ بیکاری,audio/fa/c34e25e345425f1014.mp3
b2-0142,B2 all 12 units,Unit 2,auffallen,جلب توجه کردن,audio/fa/1f92f8b5780c043d79.mp3
b2-0143,B2 all 12 units,Unit 2,das Baugewerbe,صنعت ساختمان‌سازی,audio/fa/a775928ff387e15b6d.mp3
b2-0144,B2 all 12 units,Unit 2,etw. bearbeiten,چیزی را پروسس/رسیدگی کردن,audio/fa/5cd6b9329cc0cb8728.mp3
b2-0145,B2 all 12 units,Unit 2,etw./jdn. beaufsichtigen,نظارت کردن بر چیزی/کسی,audio/fa/8b02113c18e9a14aa7.mp3
b2-0146,B2 all 12 units,Unit 2,befristet,موقتی؛ محدود به زمان,audio/fa/381a1000a0c24198b7.mp3
b2-0147,B2 all 12 units,Unit 2,"der Beschäftigte, -n",کارمند مرد,audio/fa/f8f125859f6b195f94.mp3
b2-0148,B2 all 12 units,Unit 2,"die Beschäftigte, -n",کارمند زن,audio/fa/73dec3ae4a014b8e75.mp3
b2-0149,B2 all 12 units,Unit 2,etw./jdn. betreuen,مراقبت/رسیدگی کردن,audio/fa/f6af722da4e15cdd76.mp3
b2-0150,B2 all 12 units,Unit 2,"die Branche, -n",رشته؛ بخش کاری,audio/fa/ac6b997cd9466cb9b0.mp3
b2-0151,B2 all 12 units,Unit 2,"die Dienstleistung, -en",خدمت؛ خدمات,audio/fa/c2ef2315ce03433974.mp3
b2-0152,B2 all 12 units,Unit 2,die Finanzbranche,بخش مالی,audio/fa/72e1099b1011ed73bf.mp3
b2-0153,B2 all 12 units,Unit 2,"der Fluggerätemechaniker, -",میخانیک طیاره مرد,audio/fa/d1c595e9a6ebb408c7.mp3
b2-0154,B2 all 12 units,Unit 2,"die Fluggerätemechanikerin, -nen",میخانیک طیاره زن,audio/fa/41c8b106e994e1db65.mp3
b2-0155,B2 all 12 units,Unit 2,das Gastgewerbe,صنعت مهمان‌داری,audio/fa/0bb240fb7b6a12e27b.mp3
b2-0156,B2 all 12 units,Unit 2,das Gesundheitswesen,نظام صحی؛ بخش صحت,audio/fa/22f5c71aa154a33bfb.mp3
b2-0157,B2 all 12 units,Unit 2,das Gewerbe,صنعت؛ تجارت,audio/fa/1cddf55c156941fd95.mp3
b2-0158,B2 all 12 units,Unit 2,die Gleitzeit,وقت کاری انعطاف‌پذیر,audio/fa/49b5718309502d4992.mp3
b2-0159,B2 all 12 units,Unit 2,der Handel,تجارت,audio/fa/3af181db22778261bc.mp3
b2-0160,B2 all 12 units,Unit 2,das Handwerk,پیشه‌وری؛ صنایع دستی,audio/fa/812ac63118d1bde650.mp3
b2-0161,B2 all 12 units,Unit 2,hervorgehen aus (+ Dat.),ناشی شدن از,audio/fa/145eb3c28e4574731c.mp3
b2-0162,B2 all 12 units,Unit 2,das Homeoffice,کار از خانه,audio/fa/9f8773b6fa1f1f3964.mp3
b2-0163,B2 all 12 units,Unit 2,Hotel und Gastronomie,هوتل‌داری و رستورانت‌داری,audio/fa/d46d3e5c910b99d874.mp3
b2-0164,B2 all 12 units,Unit 2,die IT-Branche,بخش تکنالوژی معلوماتی,audio/fa/78197bae1a9db2ed61.mp3
b2-0165,B2 all 12 units,Unit 2,kaufmännisch,تجارتی؛ اداری,audio/fa/ba5234e1c39b433b35.mp3
b2-0166,B2 all 12 units,Unit 2,die Konjunktur,وضعیت اقتصادی,audio/fa/11dab7d3f8725305e9.mp3
b2-0167,B2 all 12 units,Unit 2,die Lagerlogistik,لوژیستیک انبار,audio/fa/b05287b8618d1fcdd4.mp3
b2-0168,B2 all 12 units,Unit 2,die Land- und Forstwirtschaft,زراعت و جنگلداری,audio/fa/73212b8b089250e8ab.mp3
b2-0169,B2 all 12 units,Unit 2,den Schluss nahelegen,نتیجه را نشان دادن,audio/fa/5bbf24826c05977d48.mp3
b2-0170,B2 all 12 units,Unit 2,"das Pflegeheim, -e",خانه سالمندان؛ مرکز مراقبت,audio/fa/4c94848ba4ce48ad08.mp3
b2-0171,B2 all 12 units,Unit 2,produzierendes Gewerbe,بخش تولیدی,audio/fa/dd0ef2a0b8f79ce6e8.mp3
b2-0172,B2 all 12 units,Unit 2,"die Reservierung, -en",ریزرفیشن؛ رزرو,audio/fa/8ae7cb9d7cb93baa12.mp3
b2-0173,B2 all 12 units,Unit 2,die Schichtarbeit,کار شیفتی,audio/fa/d463059cacb1074555.mp3
b2-0174,B2 all 12 units,Unit 2,"der Server, -",سرور,audio/fa/f019da3ec81ae93804.mp3
b2-0175,B2 all 12 units,Unit 2,sozialversicherungspflichtig,شامل بیمه اجتماعی,audio/fa/79625942b44bf46a9c.mp3
b2-0176,B2 all 12 units,Unit 2,stabil,ثابت؛ پایدار,audio/fa/9f78ea42defb915f0a.mp3
b2-0177,B2 all 12 units,Unit 2,die Teilzeit,کار نیمه‌وقت,audio/fa/39e14f3cf7cc039443.mp3
b2-0178,B2 all 12 units,Unit 2,etw. überwachen,نظارت کردن,audio/fa/c49299059e51032c14.mp3
b2-0179,B2 all 12 units,Unit 2,etw. verwalten,اداره کردن,audio/fa/37bfb27af080bf2376.mp3
b2-0180,B2 all 12 units,Unit 2,die Vollzeit,کار تمام‌وقت,audio/fa/16030e662fe1d20cf9.mp3
b2-0181,B2 all 12 units,Unit 2,"der Vollzeitjob, -s",وظیفه تمام‌وقت,audio/fa/76f6679013c9afdc3f.mp3
b2-0182,B2 all 12 units,Unit 2,etw. warten,سرویس/ترمیم کردن,audio/fa/b203217963debf58f3.mp3
b2-0183,B2 all 12 units,Unit 2,die Wirtschaftsbranche,بخش اقتصادی,audio/fa/3b719930acee073991.mp3
b2-0184,B2 all 12 units,Unit 2,etw. zubereiten,آماده کردن غذا,audio/fa/58c3e21e56d48eda3f.mp3
b2-0185,B2 all 12 units,Unit 2,die Zuverlässigkeit,قابل اعتماد بودن,audio/fa/70715e5cb0494c2979.mp3
b2-0186,B2 all 12 units,Unit 2,etw./jdn. abfertigen,طی مراحل کردن؛ چک‌این کردن,audio/fa/c640f431ef65372459.mp3
b2-0187,B2 all 12 units,Unit 2,"die Arbeitsstätte, -n",محل کار,audio/fa/8a74e8726cbcb71932.mp3
b2-0188,B2 all 12 units,Unit 2,etw. beschreiben,توضیح دادن,audio/fa/81cdc9e4e88c4b06ea.mp3
b2-0189,B2 all 12 units,Unit 2,etw. betreiben,راه‌اندازی/اداره کردن,audio/fa/424bf655d8826e06c1.mp3
b2-0190,B2 all 12 units,Unit 2,das Bodenpersonal,کارمندان زمینی میدان هوایی,audio/fa/47e7ea1bf35e94c1e6.mp3
b2-0191,B2 all 12 units,Unit 2,der Check-in,چک‌این,audio/fa/ddadfaf19d4f95779d.mp3
b2-0192,B2 all 12 units,Unit 2,jdn. einstellen,استخدام کردن,audio/fa/d99107c6f45e265ff6.mp3
b2-0193,B2 all 12 units,Unit 2,der Einzelhandel,پرچون‌فروشی,audio/fa/3435aecb466f4f2038.mp3
b2-0194,B2 all 12 units,Unit 2,etw. erweitern,گسترش دادن,audio/fa/08de4ee1184c47ad11.mp3
b2-0195,B2 all 12 units,Unit 2,"der Fluglotse, -n",کنترلر ترافیک هوایی مرد,audio/fa/1d5fd4edc0449b3e5b.mp3
b2-0196,B2 all 12 units,Unit 2,"die Fluglotsin, -nen",کنترلر ترافیک هوایی زن,audio/fa/b6949f599bb290e6a0.mp3
b2-0197,B2 all 12 units,Unit 2,die Flugzeugabfertigung,طی مراحل طیاره,audio/fa/7621e3c698e2c4e63e.mp3
b2-0198,B2 all 12 units,Unit 2,die Gepäckabfertigung,طی مراحل بکس‌ها,audio/fa/566c7bb067888401d5.mp3
b2-0199,B2 all 12 units,Unit 2,"die Gewerkschaft, -en",اتحادیه کارگری,audio/fa/1ce8027580a0e3b82e.mp3
b2-0200,B2 all 12 units,Unit 2,etw. gründen,تأسیس کردن,audio/fa/8c84c8773ad7f8913f.mp3
b2-0201,B2 all 12 units,Unit 2,das Handgepäck,بکس دستی,audio/fa/b0a382b19fa0d827b9.mp3
b2-0202,B2 all 12 units,Unit 2,die Hygiene,حفظ‌الصحه,audio/fa/d7de510b99a79e24ad.mp3
b2-0203,B2 all 12 units,Unit 2,die Logistik,لوژیستیک,audio/fa/4bb5dc0db6a9557139.mp3
b2-0204,B2 all 12 units,Unit 2,die Luftfracht,بار هوایی,audio/fa/94f5f112a6bfbe4aed.mp3
b2-0205,B2 all 12 units,Unit 2,"der Passagier, -e",مسافر مرد,audio/fa/c1c1fb4e09e9f1b189.mp3
b2-0206,B2 all 12 units,Unit 2,"die Passagierin, -nen",مسافر زن,audio/fa/c27c968054177f91ff.mp3
b2-0207,B2 all 12 units,Unit 2,"der Quereinsteiger, -",واردشونده از رشته دیگر مرد,audio/fa/73640581d57525d1b5.mp3
b2-0208,B2 all 12 units,Unit 2,"die Quereinsteigerin, -nen",واردشونده از رشته دیگر زن,audio/fa/ffc6a8c0d3b891b30c.mp3
